owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,transaction_obligated_amount,gross_outlay_amount_FYB_to_period_end,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,award_unique_key,award_id_piid,parent_award_id_piid,award_id_fain,award_id_uri,award_base_action_date,award_base_action_date_fiscal_year,award_latest_action_date,award_latest_action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,ordering_period_end_date,award_type_code,award_type,idv_type_code,idv_type,prime_award_base_transaction_description,awarding_agency_code,awarding_agency_name,awarding_subagency_code,awarding_subagency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_uei,recipient_duns,recipient_name,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_country,recipient_state,recipient_county,recipient_city,recipient_congressional_district,recipient_zip_code,primary_place_of_performance_country,primary_place_of_performance_state,primary_place_of_performance_county,primary_place_of_performance_congressional_district,primary_place_of_performance_zip_code,cfda_number,cfda_title,product_or_service_code,product_or_service_code_description,naics_code,naics_description,national_interest_action_code,national_interest_action,usaspending_permalink,last_modified_date
Small Business Administration,Small Business Administration,FY2021P12,20,73,,,X,1152,0,073-X-1152-000,"Disaster Loans Program Account, Small Business Administration",Small Business Administration,,Community and Regional Development,Disaster relief and insurance,073-1152,"Disaster Loans Program Account, Small Business Administration",701,DIRECT LOAN SUBSIDY,41,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,2845.8,,,,ASST_NON_5971478008_7300,,,5971478008,,6/29/2020,2020,9/29/2021,2021,,,,7,DIRECT LOAN (E),,,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,,,FLA MANAGEMENT GROUP INC,,,,USA,FL,MIAMI-DADE,MIAMI,24,33138,UNITED STATES,FLORIDA,MIAMI-DADE,24,,59.008,DISASTER ASSISTANCE LOANS,,,,,,,https://www.usaspending.gov/award/ASST_NON_5971478008_7300/,10/28/2021
Small Business Administration,Small Business Administration,FY2021P12,20,73,,,X,1152,0,073-X-1152-000,"Disaster Loans Program Account, Small Business Administration",Small Business Administration,,Community and Regional Development,Disaster relief and insurance,073-1152,"Disaster Loans Program Account, Small Business Administration",701,DIRECT LOAN SUBSIDY,41,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,-2002.14,,,,ASST_NON_3540228002_7300,,,3540228002,,6/25/2020,2020,9/27/2021,2021,,,,7,DIRECT LOAN (E),,,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,,,A FRESH STARTT,,,,USA,FL,BROWARD,HOLLYWOOD,23,33020,UNITED STATES,FLORIDA,BROWARD,23,,59.008,DISASTER ASSISTANCE LOANS,,,,,,,https://www.usaspending.gov/award/ASST_NON_3540228002_7300/,10/28/2021
Small Business Administration,Small Business Administration,FY2021P12,20,73,,,X,1152,0,073-X-1152-000,"Disaster Loans Program Account, Small Business Administration",Small Business Administration,,Community and Regional Development,Disaster relief and insurance,073-1152,"Disaster Loans Program Account, Small Business Administration",701,DIRECT LOAN SUBSIDY,41,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,10217.34,,,,ASST_NON_1965158110_7300,,,1965158110,,7/11/2020,2020,9/18/2021,2021,,,,7,DIRECT LOAN (E),,,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,,,YOUR MILLENNIUM BEAUTY CORP,,,,USA,FL,BROWARD,HOLLYWOOD,20,33025,UNITED STATES,FLORIDA,BROWARD,20,,59.008,DISASTER ASSISTANCE LOANS,,,,,,,https://www.usaspending.gov/award/ASST_NON_1965158110_7300/,10/28/2021
Small Business Administration,Small Business Administration,FY2021P12,20,73,,,X,1152,0,073-X-1152-000,"Disaster Loans Program Account, Small Business Administration",Small Business Administration,,Community and Regional Development,Disaster relief and insurance,073-1152,"Disaster Loans Program Account, Small Business Administration",701,DIRECT LOAN SUBSIDY,41,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,32130,,,,ASST_NON_4739008204_7300,,,4739008204,,8/6/2020,2020,3/1/2022,2022,,,,7,DIRECT LOAN (E),,,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,,,HOOKED INC,,,,USA,FL,PINELLAS,SAINT PETERSBURG,13,337013325,UNITED STATES,FLORIDA,PINELLAS,13,,59.008,DISASTER ASSISTANCE LOANS,,,,,,,https://www.usaspending.gov/award/ASST_NON_4739008204_7300/,10/28/2021
Small Business Administration,Small Business Administration,FY2021P12,20,73,,,X,1152,0,073-X-1152-000,"Disaster Loans Program Account, Small Business Administration",Small Business Administration,,Community and Regional Development,Disaster relief and insurance,073-1152,"Disaster Loans Program Account, Small Business Administration",701,DIRECT LOAN SUBSIDY,41,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,,31220,,,ASST_NON_2079847904_7300,,,2079847904,,6/11/2020,2020,8/17/2021,2021,,,,7,DIRECT LOAN (E),,,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,,,MS SACHI ENTERPRISES INC,,,,USA,GA,HENRY,MCDONOUGH,3,30253,UNITED STATES,GEORGIA,HENRY,3,,59.008,DISASTER ASSISTANCE LOANS,,,,,,,https://www.usaspending.gov/award/ASST_NON_2079847904_7300/,10/28/2021
Small Business Administration,Small Business Administration,FY2021P12,20,73,,,X,1152,0,073-X-1152-000,"Disaster Loans Program Account, Small Business Administration",Small Business Administration,,Community and Regional Development,Disaster relief and insurance,073-1152,"Disaster Loans Program Account, Small Business Administration",701,DIRECT LOAN SUBSIDY,41,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,,31220,,,ASST_NON_2089287808_7300,,,2089287808,,5/22/2020,2020,7/9/2021,2021,,,,7,DIRECT LOAN (E),,,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,,,MORRO ROCK LLC,,,,USA,CA,SANTA CRUZ,APTOS,20,95003,UNITED STATES,CALIFORNIA,SANTA CRUZ,20,,59.008,DISASTER ASSISTANCE LOANS,,,,,,,https://www.usaspending.gov/award/ASST_NON_2089287808_7300/,10/28/2021
Small Business Administration,Small Business Administration,FY2021P12,20,73,,,X,1152,0,073-X-1152-000,"Disaster Loans Program Account, Small Business Administration",Small Business Administration,,Community and Regional Development,Disaster relief and insurance,073-1152,"Disaster Loans Program Account, Small Business Administration",701,DIRECT LOAN SUBSIDY,41,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,,5530.4,,,ASST_NON_2700168406_7300,,,2700168406,,2/3/2021,2021,8/17/2021,2021,,,,7,DIRECT LOAN (E),,,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,,,LAUREN STUCKY,,,,USA,CA,LOS ANGELES,LOS ANGELES,37,90005,UNITED STATES,CALIFORNIA,LOS ANGELES,37,,59.008,DISASTER ASSISTANCE LOANS,,,,,,,https://www.usaspending.gov/award/ASST_NON_2700168406_7300/,10/28/2021
Small Business Administration,Small Business Administration,FY2021P12,20,73,,,X,1152,0,073-X-1152-000,"Disaster Loans Program Account, Small Business Administration",Small Business Administration,,Community and Regional Development,Disaster relief and insurance,073-1152,"Disaster Loans Program Account, Small Business Administration",701,DIRECT LOAN SUBSIDY,41,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,,8920,,,ASST_NON_8934088210_7300,,,8934088210,,11/2/2020,2021,11/2/2020,2021,,,,7,DIRECT LOAN (E),,,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,,,EWS MOTORSPORTS LLC,,,,USA,WA,SPOKANE,NINE MILE FALLS,5,99026,UNITED STATES,WASHINGTON,SPOKANE,5,,59.008,DISASTER ASSISTANCE LOANS,,,,,,,https://www.usaspending.gov/award/ASST_NON_8934088210_7300/,10/28/2021
Small Business Administration,Small Business Administration,FY2021P12,20,73,,,X,1152,0,073-X-1152-000,"Disaster Loans Program Account, Small Business Administration",Small Business Administration,,Community and Regional Development,Disaster relief and insurance,073-1152,"Disaster Loans Program Account, Small Business Administration",701,DIRECT LOAN SUBSIDY,41,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,,17126.4,,,ASST_NON_4730957803_7300,,,4730957803,,5/29/2020,2020,7/12/2021,2021,,,,7,DIRECT LOAN (E),,,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,,,NNY ACCOUNTING INC,,,,USA,GA,FULTON,ATLANTA,13,30349,UNITED STATES,GEORGIA,FULTON,13,,59.008,DISASTER ASSISTANCE LOANS,,,,,,,https://www.usaspending.gov/award/ASST_NON_4730957803_7300/,10/28/2021
Small Business Administration,Small Business Administration,FY2021P12,20,73,,,X,1152,0,073-X-1152-000,"Disaster Loans Program Account, Small Business Administration",Small Business Administration,,Community and Regional Development,Disaster relief and insurance,073-1152,"Disaster Loans Program Account, Small Business Administration",701,DIRECT LOAN SUBSIDY,41,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,-3868.08,,,,ASST_NON_5491428201_7300,,,5491428201,,8/8/2020,2020,9/28/2021,2021,,,,7,DIRECT LOAN (E),,,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,73,SMALL BUSINESS ADMINISTRATION (SBA),7300,SMALL BUSINESS ADMINISTRATION,732990,OFC OF DISASTER ASSISTANCE,,,REDACTED DUE TO PII,,,,USA,NJ,SUSSEX,STOCKHOLM,5,7460,UNITED STATES,NEW JERSEY,SUSSEX,5,7460,59.008,DISASTER ASSISTANCE LOANS,,,,,,,https://www.usaspending.gov/award/ASST_NON_5491428201_7300/,10/28/2021
